Name,Date,Century,Wikipedia_Link
Abner of Burgos,1270??348[f],11th??4th,https://en.wikipedia.org/wiki/Abner_of_Burgos
Adam Parvipontanus,died 1181,11th??4th,https://en.wikipedia.org/wiki/Adam_Parvipontanus
Abraham ben Moses Maimonides,or Abraham ben Maimon; 1186??237[e],11th??4th,https://en.wikipedia.org/wiki/Abraham_ben_Moses_Maimonides
Adelard of Bath,12th century[a],11th??4th,https://en.wikipedia.org/wiki/Adelard_of_Bath
AtÄ«Åa,982??054,11th??4th,https://en.wikipedia.org/wiki/Ati%C5%9Ba
Akka Mahadevi,c.1130??160,11th??4th,https://en.wikipedia.org/wiki/Akka_Mahadevi
Akshobhya Tirtha,c. 1282- c. 1365,11th??4th,https://en.wikipedia.org/wiki/Akshobhya_Tirtha
Alain de Lille,c. 1128 ??1202,11th??4th,https://en.wikipedia.org/wiki/Alain_de_Lille
Al-Ghazali,1058??111[a][c][d][e],11th??4th,https://en.wikipedia.org/wiki/Al-Ghazali
Albert of Saxony,c. 1316 ??1390[a][e][f],11th??4th,https://en.wikipedia.org/wiki/Albert_of_Saxony_(philosopher)
Albertus Magnus,or Albert the Great or Albert of Cologne; c.??193-1280[a][c][d][e][f],11th??4th,https://en.wikipedia.org/wiki/Albertus_Magnus
Alexander of Hales,died 1245[a][e],11th??4th,https://en.wikipedia.org/wiki/Alexander_of_Hales
Amalananda,13th century,11th??4th,https://en.wikipedia.org/w/index.php?title=Amalananda&action=edit&redlink=1
Al-Hilli,1250??325,11th??4th,https://en.wikipedia.org/wiki/Allamah_Al-Hilli
Abraham ibn Ezra,1092 or 1093??167[e][f],11th??4th,https://en.wikipedia.org/wiki/Abraham_ibn_Ezra
Anselm,1034??109[a][c][d][e][f],11th??4th,https://en.wikipedia.org/wiki/Anselm_of_Canterbury
Abu al-Hakam al-Kirmani,12th century,11th??4th,https://en.wikipedia.org/wiki/Abu_al-Hakam_al-Kirmani
Averroes,or Ibn Rushd; 1126??198[a][c][d][e][f],11th??4th,https://en.wikipedia.org/wiki/Averroes
Abraham bar Hiyya Ha-Nasi,1070??136[e],11th??4th,https://en.wikipedia.org/wiki/Abraham_bar_Hiyya_Ha-Nasi
Abul Maali al-Juwayni,1028??085[e],11th??4th,https://en.wikipedia.org/wiki/Al-Juwayni
Bartolus de Saxoferrato,1313??357[e],11th??4th,https://en.wikipedia.org/wiki/Bartolus_de_Saxoferrato
Bernard of Chartres,died 1130[a],11th??4th,https://en.wikipedia.org/wiki/Bernard_of_Chartres
Bahya ibn Paquda,1040??110[e],11th??4th,https://en.wikipedia.org/wiki/Bahya_ibn_Paquda
Bhoja,1010??055,11th??4th,https://en.wikipedia.org/wiki/Bhoja
Bernard of Clairvaux,1090??153[a][e],11th??4th,https://en.wikipedia.org/wiki/Bernard_of_Clairvaux
Bernard Silvestris,or Bernard of Tours; 1147??178[e],11th??4th,https://en.wikipedia.org/wiki/Bernard_Silvestris
Basaveshwara,1134??196,11th??4th,https://en.wikipedia.org/wiki/Basaveshwara
Basava,1130-1667,11th??4th,https://en.wikipedia.org/wiki/Basava
Basil Bessarion,1395??472[f],11th??4th,https://en.wikipedia.org/wiki/Basil_Bessarion
Blasius of Parma,or Biagio Pelacani da Parma; 1345??416[e],11th??4th,https://en.wikipedia.org/wiki/Blasius_of_Parma
Boetius of Dacia,c.??240Â ??c.??280[e],11th??4th,https://en.wikipedia.org/wiki/Boetius_of_Dacia
Bonaventure,1221??274[a][c][d][e][f],11th??4th,https://en.wikipedia.org/wiki/Bonaventure
Cavalcante de' Cavalcanti,died c. 1280,11th??4th,https://en.wikipedia.org/wiki/Cavalcante_de%27_Cavalcanti
Chang Tsai,or Zhang Zai; 1020??077[e],11th??4th,https://en.wikipedia.org/wiki/Chang_Tsai
Chakradhar Swami,13th century,11th??4th,https://en.wikipedia.org/wiki/Chakradhar_Swami
Cheng Hao,or Ch'eng Ming-Tao; 1032??085[a][e],11th??4th,https://en.wikipedia.org/wiki/Cheng_Hao
Cheng Yi,or Ch'eng Yi Chu'an; 1033??107[a][e],11th??4th,https://en.wikipedia.org/wiki/Cheng_Yi_(philosopher)
Chou Tun-Yi,or Zhou Dunyi or Chou Lien-Hsi or Zhou Lianxi; 1017??073[a][e],11th??4th,https://en.wikipedia.org/wiki/Chou_Tun-Yi
Christine de Pizan,c. 1365 ??c. 1430[e],11th??4th,https://en.wikipedia.org/wiki/Christine_de_Pizan
Clarembald of Arras,1110??187[e],11th??4th,https://en.wikipedia.org/wiki/Clarembald_of_Arras
David of Dinant,12th century[e],11th??4th,https://en.wikipedia.org/wiki/David_of_Dinant
Dnyaneshwar,1275??296,11th??4th,https://en.wikipedia.org/wiki/Dnyaneshwar
Dante Alighieri,1265??321[c][d][e][f],11th??4th,https://en.wikipedia.org/wiki/Dante_Alighieri
Dominicus Gundissalinus,12th century,11th??4th,https://en.wikipedia.org/wiki/Dominicus_Gundissalinus
Dogen,also Dogen Zenji or DÅgen Kigen; 1200??253[c][d][e],11th??4th,https://en.wikipedia.org/wiki/Dogen
Duns Scotus,c. 1266 ??1308[a][c][d][e][f],11th??4th,https://en.wikipedia.org/wiki/Duns_Scotus
Durandus of St. PourÃ§ain,c. 1275 ??1334[e],11th??4th,https://en.wikipedia.org/wiki/Durandus_of_St._Pour%C3%A7ain
Francis of Assisi,1181??226,11th??4th,https://en.wikipedia.org/wiki/Francis_of_Assisi
Francis of Marchia,c.??290Â ??c.??344[f],11th??4th,https://en.wikipedia.org/wiki/Francis_of_Marchia
Francis of Meyronnes,1285??328[e],11th??4th,https://en.wikipedia.org/wiki/Francis_of_Meyronnes
GangeÅa,fl. c. 1325[e],11th??4th,https://en.wikipedia.org/wiki/Gange%C5%9Ba
Gennadius Scholarius,died c. 1473,11th??4th,https://en.wikipedia.org/wiki/Gennadius_Scholarius
George of Trebizond,1395??484[e],11th??4th,https://en.wikipedia.org/wiki/George_of_Trebizond
Gangesha Upadhyaya,14th century,11th??4th,https://en.wikipedia.org/wiki/Gangesha_Upadhyaya
Gerard of Cremona,1114??187[e],11th??4th,https://en.wikipedia.org/wiki/Gerard_of_Cremona
Gerard of Odo,or Gerald Odonis; 1290??349[e],11th??4th,https://en.wikipedia.org/wiki/Gerard_of_Odo
Gersonides,or Levi ben Gershon; 1288??344[a][e][f],11th??4th,https://en.wikipedia.org/wiki/Gersonides
Gervase of Canterbury,1141 - 1210,11th??4th,https://en.wikipedia.org/wiki/Gervase_of_Canterbury
Gilbert of Poitiers,1070??154[e],11th??4th,https://en.wikipedia.org/wiki/Gilbert_de_la_Porr%C3%A9e
Giles of Rome,c. 1243 ??1316[a][c][d][e][f],11th??4th,https://en.wikipedia.org/wiki/Giles_of_Rome
Godfrey of Fontaines,c. 1250 ??1309[a][e][f],11th??4th,https://en.wikipedia.org/wiki/Godfrey_of_Fontaines
Gregory of Rimini,died 1358[a][c][d][e][f],11th??4th,https://en.wikipedia.org/wiki/Gregory_of_Rimini
Henry of Ghent,c. 1217 ??1293[a][c][d][e][f],11th??4th,https://en.wikipedia.org/wiki/Henry_of_Ghent
Henry of Harclay,1270??317[e],11th??4th,https://en.wikipedia.org/wiki/Henry_of_Harclay
Hasdai Crescas,c. 1340 ??1410[a][c][d][e][f],11th??4th,https://en.wikipedia.org/wiki/Hasdai_Crescas
Hibat Allah Abu'l-Barakat al-Baghd\aadi,1080??165[e],11th??4th,https://en.wikipedia.org/wiki/Hibat_Allah_Abu%27l-Barakat_al-Baghdaadi
Hemachandra,1088-1173,11th??4th,https://en.wikipedia.org/wiki/Hemachandra
Herman of Carinthia,c.??100Â ??c.??160,11th??4th,https://en.wikipedia.org/wiki/Herman_of_Carinthia
Hervaeus Natalis,or HervÃ© Nedellec; 1250??323[e],11th??4th,https://en.wikipedia.org/wiki/Hervaeus_Natalis
Hildegard of Bingen,1098??179[e],11th??4th,https://en.wikipedia.org/wiki/Hildegard_of_Bingen
Hillel ben Samuel of Verona,1220??295[e],11th??4th,https://en.wikipedia.org/wiki/Hillel_ben_Samuel_of_Verona
