Name,In-Degree Centrality,Out-Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,RawCentrality,Calculated_In_Degree_Count,ActivityYear,AdjustedCentrality,Century
Friedrich Meinecke,0.0003095017022593,0.0,0.0003095017022593,0.0,8.495027708333967e-31,0,1,1862.0,0.0,19th
Leo Strauss,0.0331166821417517,0.0334261838440111,0.3871344704746474,0.0084578781590129,0.0457989724655402,0,107,1899.0,0.0,19th
Friedrich Nietzsche,0.0683998761993191,0.0473537604456824,0.4096574708648249,0.0195391578631494,0.0624267863309045,0,221,1844.0,0.0,19th
Henry George,0.0102135561745589,0.0061900340451872,0.3427539756230564,0.0005627879424941,0.0071032026976143,0,33,1839.0,0.0,19th
Martin Heidegger,0.0615908387496131,0.0334261838440111,0.3948960393760626,0.0192410318615309,0.0428850295046949,0,199,1889.0,0.0,19th
Ãmile Saisset,0.0,0.000928505106778,0.0,0.0,4.997075122549391e-32,0,0,1814.0,0.0,19th
Alf Niels Christian Ross,0.0,0.0012380068090374,0.0,0.0,4.997075122549391e-32,0,0,1899.0,0.0,19th
Johann Karl Friedrich Rosenkranz,0.0,0.0003095017022593,0.0,0.0,4.997075122549391e-32,0,0,1805.0,0.0,19th
Alejandro Korn,0.0003095017022593,0.0,0.0003095017022593,0.0,8.495027708333967e-31,0,1,1860.0,0.0,19th
Francisco Romero,0.0,0.0003095017022593,0.0,0.0,4.997075122549391e-32,0,0,1891.0,0.0,19th
